1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1002.00,303.00,517.00,182.00,0.00,1002.00,110.00,3.00,0.00,0.00,0.00,404.00,0.00,3.00,14.00,464.00,4.00,3.00,0.00,0.00,-3.00,0.00
1952:Q1,225.00,50.00,139.00,36.00,0.00,225.00,45.00,1.00,0.00,0.00,0.00,60.00,0.00,1.00,2.00,110.00,2.00,1.00,0.00,0.00,3.00,0.00
1952:Q2,214.00,76.00,-145.00,283.00,0.00,214.00,40.00,1.00,0.00,0.00,0.00,87.00,0.00,1.00,1.00,81.00,2.00,0.00,0.00,0.00,1.00,0.00
1952:Q3,234.00,76.00,-25.00,183.00,0.00,234.00,49.00,1.00,0.00,0.00,0.00,93.00,0.00,1.00,1.00,85.00,1.00,1.00,0.00,0.00,2.00,0.00
1952:Q4,236.00,65.00,205.00,-34.00,0.00,236.00,46.00,1.00,0.00,1.00,0.00,104.00,0.00,1.00,1.00,79.00,2.00,1.00,0.00,0.00,0.00,0.00
1953:Q1,263.00,77.00,276.00,-90.00,0.00,263.00,67.00,1.00,0.00,0.00,0.00,102.00,0.00,1.00,2.00,89.00,3.00,1.00,0.00,0.00,-3.00,0.00
1953:Q2,279.00,74.00,-75.00,280.00,0.00,279.00,65.00,1.00,0.00,1.00,0.00,112.00,0.00,1.00,4.00,89.00,3.00,1.00,0.00,0.00,2.00,0.00
1953:Q3,273.00,63.00,57.00,153.00,0.00,273.00,63.00,0.00,0.00,3.00,0.00,108.00,0.00,0.00,5.00,87.00,2.00,2.00,0.00,0.00,3.00,0.00
1953:Q4,352.00,82.00,372.00,-102.00,0.00,352.00,96.00,0.00,0.00,7.00,0.00,129.00,0.00,0.00,5.00,112.00,3.00,1.00,0.00,0.00,-1.00,0.00
1954:Q1,316.00,92.00,265.00,-41.00,0.00,316.00,105.00,0.00,0.00,-5.00,0.00,121.00,0.00,0.00,4.00,85.00,3.00,2.00,0.00,0.00,1.00,0.00
1954:Q2,444.00,98.00,-148.00,494.00,0.00,444.00,133.00,0.00,0.00,4.00,0.00,191.00,0.00,0.00,2.00,109.00,3.00,1.00,0.00,0.00,1.00,0.00
1954:Q3,458.00,75.00,-80.00,463.00,0.00,458.00,146.00,0.00,0.00,-7.00,0.00,190.00,0.00,0.00,0.00,122.00,3.00,2.00,0.00,0.00,2.00,0.00
1954:Q4,531.00,15.00,407.00,109.00,0.00,531.00,170.00,1.00,0.00,0.00,0.00,178.00,0.00,1.00,-2.00,177.00,3.00,1.00,0.00,0.00,2.00,0.00
1955:Q1,452.00,29.00,279.00,144.00,0.00,452.00,98.00,3.00,0.00,5.00,0.00,197.00,0.00,3.00,1.00,136.00,4.00,2.00,0.00,0.00,3.00,0.00
1955:Q2,498.00,-146.00,169.00,475.00,0.00,498.00,134.00,4.00,0.00,10.00,0.00,209.00,0.00,4.00,2.00,124.00,5.00,2.00,0.00,0.00,4.00,0.00
1955:Q3,556.00,-33.00,211.00,379.00,0.00,556.00,159.00,4.00,0.00,2.00,0.00,227.00,0.00,4.00,3.00,143.00,6.00,1.00,0.00,0.00,7.00,0.00
1955:Q4,556.00,-96.00,828.00,-176.00,0.00,556.00,182.00,3.00,0.00,4.00,0.00,168.00,0.00,3.00,3.00,185.00,6.00,2.00,0.00,0.00,0.00,0.00
1956:Q1,579.00,272.00,204.00,103.00,0.00,579.00,149.00,2.00,0.00,2.00,0.00,242.00,0.00,2.00,4.00,171.00,7.00,2.00,0.00,0.00,-2.00,0.00
1956:Q2,628.00,131.00,82.00,416.00,0.00,628.00,178.00,1.00,0.00,5.00,0.00,230.00,0.00,1.00,3.00,199.00,9.00,2.00,0.00,0.00,0.00,0.00
1956:Q3,617.00,218.00,73.00,326.00,0.00,617.00,177.00,1.00,0.00,-2.00,0.00,228.00,0.00,1.00,2.00,197.00,9.00,2.00,0.00,0.00,2.00,0.00
1956:Q4,604.00,74.00,508.00,22.00,0.00,604.00,169.00,3.00,0.00,2.00,0.00,180.00,0.00,3.00,0.00,237.00,9.00,3.00,0.00,0.00,-2.00,0.00
1957:Q1,518.00,17.00,499.00,2.00,0.00,518.00,165.00,4.00,0.00,1.00,0.00,115.00,0.00,4.00,0.00,222.00,9.00,4.00,0.00,0.00,-6.00,0.00
1957:Q2,473.00,45.00,65.00,363.00,0.00,473.00,131.00,5.00,0.00,14.00,0.00,121.00,0.00,5.00,0.00,187.00,9.00,3.00,0.00,0.00,-2.00,0.00
1957:Q3,684.00,200.00,96.00,388.00,0.00,684.00,224.00,5.00,0.00,0.00,0.00,233.00,0.00,5.00,0.00,204.00,8.00,5.00,0.00,0.00,0.00,0.00
1957:Q4,781.00,133.00,599.00,49.00,0.00,781.00,240.00,4.00,0.00,4.00,0.00,229.00,0.00,4.00,0.00,284.00,11.00,5.00,0.00,0.00,0.00,0.00
1958:Q1,553.00,323.00,271.00,-41.00,0.00,553.00,159.00,4.00,0.00,-1.00,0.00,173.00,0.00,4.00,0.00,196.00,9.00,6.00,0.00,0.00,3.00,0.00
1958:Q2,684.00,280.00,197.00,207.00,0.00,684.00,209.00,4.00,0.00,1.00,0.00,313.00,0.00,4.00,0.00,134.00,10.00,5.00,0.00,0.00,4.00,0.00
1958:Q3,708.00,73.00,236.00,399.00,0.00,708.00,205.00,4.00,0.00,-1.00,0.00,278.00,0.00,4.00,0.00,199.00,10.00,6.00,0.00,0.00,3.00,0.00
1958:Q4,1018.00,-58.00,928.00,148.00,0.00,1018.00,290.00,3.00,0.00,-1.00,0.00,415.00,0.00,3.00,-1.00,285.00,13.00,7.00,0.00,0.00,4.00,0.00
1959:Q1,553.00,244.00,-5.00,314.00,0.00,553.00,169.00,1.00,0.00,-3.00,0.00,284.00,0.00,1.00,0.00,77.00,14.00,6.00,0.00,0.00,4.00,0.00
1959:Q2,804.00,162.00,-7.00,649.00,0.00,804.00,248.00,0.00,0.00,-1.00,0.00,454.00,0.00,0.00,-2.00,85.00,16.00,6.00,0.00,0.00,-2.00,0.00
1959:Q3,771.00,102.00,-23.00,692.00,0.00,771.00,238.00,0.00,0.00,-2.00,0.00,298.00,0.00,0.00,-3.00,213.00,17.00,7.00,0.00,0.00,3.00,0.00
1959:Q4,945.00,-9.00,780.00,174.00,0.00,945.00,286.00,0.00,0.00,-1.00,0.00,364.00,0.00,0.00,-9.00,272.00,19.00,11.00,0.00,0.00,3.00,0.00
1960:Q1,671.00,440.00,-80.00,311.00,0.00,671.00,191.00,1.00,0.00,-1.00,0.00,251.00,0.00,1.00,-1.00,198.00,19.00,11.00,0.00,0.00,1.00,0.00
1960:Q2,769.00,133.00,74.00,562.00,0.00,769.00,208.00,1.00,0.00,-1.00,0.00,306.00,0.00,1.00,0.00,220.00,22.00,14.00,0.00,0.00,-2.00,0.00
1960:Q3,863.00,138.00,195.00,531.00,0.00,863.00,239.00,1.00,0.00,0.00,0.00,355.00,0.00,1.00,2.00,226.00,22.00,15.00,0.00,0.00,2.00,0.00
1960:Q4,876.00,128.00,489.00,259.00,0.00,876.00,244.00,0.00,0.00,0.00,0.00,315.00,0.00,0.00,2.00,280.00,21.00,15.00,0.00,0.00,-1.00,0.00
1961:Q1,714.00,121.00,-118.00,711.00,0.00,714.00,165.00,2.00,0.00,5.00,0.00,310.00,0.00,2.00,4.00,193.00,18.00,14.00,1.00,0.00,0.00,0.00
1961:Q2,1052.00,125.00,246.00,681.00,0.00,1052.00,275.00,2.00,0.00,3.00,0.00,442.00,0.00,2.00,3.00,288.00,17.00,15.00,2.00,0.00,3.00,0.00
1961:Q3,912.00,146.00,176.00,591.00,0.00,912.00,243.00,2.00,0.00,1.00,0.00,390.00,0.00,2.00,1.00,235.00,16.00,13.00,1.00,0.00,8.00,0.00
1961:Q4,1318.00,143.00,921.00,254.00,0.00,1318.00,436.00,3.00,0.00,2.00,0.00,587.00,0.00,3.00,-2.00,246.00,19.00,14.00,0.00,0.00,10.00,0.00
1962:Q1,971.00,141.00,298.00,532.00,0.00,971.00,-32.00,5.00,0.00,1.00,0.00,704.00,0.00,5.00,-1.00,256.00,21.00,13.00,1.00,0.00,-2.00,0.00
1962:Q2,1210.00,166.00,369.00,675.00,0.00,1210.00,87.00,6.00,0.00,1.00,0.00,841.00,0.00,6.00,-4.00,228.00,23.00,12.00,1.00,0.00,9.00,0.00
1962:Q3,1149.00,161.00,440.00,548.00,0.00,1149.00,36.00,6.00,0.00,2.00,0.00,752.00,0.00,6.00,-6.00,312.00,22.00,10.00,1.00,0.00,8.00,0.00
1962:Q4,1473.00,128.00,998.00,347.00,0.00,1473.00,58.00,4.00,0.00,2.00,0.00,799.00,0.00,4.00,-10.00,577.00,23.00,13.00,1.00,0.00,2.00,0.00
1963:Q1,942.00,203.00,344.00,395.00,0.00,942.00,-82.00,2.00,0.00,3.00,0.00,671.00,0.00,2.00,-3.00,313.00,23.00,12.00,1.00,0.00,0.00,0.00
1963:Q2,1344.00,107.00,501.00,736.00,0.00,1344.00,-10.00,0.00,0.00,2.00,0.00,958.00,0.00,0.00,-3.00,355.00,21.00,11.00,1.00,0.00,9.00,0.00
1963:Q3,1343.00,126.00,563.00,654.00,0.00,1343.00,-51.00,0.00,0.00,4.00,0.00,920.00,0.00,0.00,-2.00,419.00,24.00,13.00,3.00,0.00,13.00,0.00
1963:Q4,1469.00,160.00,1011.00,298.00,0.00,1469.00,-43.00,4.00,0.00,4.00,0.00,845.00,0.00,4.00,-5.00,611.00,27.00,14.00,2.00,0.00,6.00,0.00
1964:Q1,527.00,146.00,500.00,-119.00,0.00,527.00,-266.00,5.00,0.00,4.00,0.00,602.00,0.00,5.00,-1.00,133.00,36.00,10.00,3.00,0.00,-4.00,0.00
1964:Q2,841.00,156.00,424.00,261.00,0.00,841.00,-220.00,7.00,0.00,4.00,0.00,788.00,0.00,7.00,0.00,194.00,39.00,10.00,3.00,0.00,9.00,0.00
1964:Q3,1176.00,151.00,744.00,281.00,0.00,1176.00,-169.00,7.00,0.00,10.00,0.00,1031.00,0.00,7.00,0.00,228.00,34.00,14.00,9.00,0.00,5.00,0.00
1964:Q4,1331.00,152.00,1197.00,-18.00,0.00,1331.00,-154.00,5.00,0.00,8.00,0.00,946.00,0.00,5.00,0.00,454.00,38.00,17.00,11.00,0.00,1.00,0.00
1965:Q1,803.00,178.00,663.00,-38.00,0.00,803.00,-241.00,2.00,0.00,6.00,0.00,615.00,0.00,2.00,4.00,345.00,38.00,17.00,13.00,0.00,2.00,0.00
1965:Q2,1215.00,187.00,341.00,688.00,0.00,1215.00,-217.00,0.00,0.00,4.00,0.00,975.00,0.00,0.00,6.00,336.00,71.00,20.00,14.00,0.00,6.00,0.00
1965:Q3,1216.00,181.00,452.00,583.00,0.00,1216.00,-216.00,0.00,0.00,8.00,0.00,920.00,0.00,0.00,7.00,412.00,33.00,22.00,18.00,0.00,12.00,0.00
1965:Q4,1248.00,172.00,896.00,180.00,0.00,1248.00,-214.00,2.00,0.00,8.00,0.00,773.00,0.00,2.00,5.00,610.00,24.00,22.00,18.00,0.00,-2.00,0.00
1966:Q1,1346.00,178.00,494.00,674.00,0.00,1346.00,25.00,5.00,0.00,-22.00,0.00,794.00,0.00,5.00,-2.00,461.00,35.00,26.00,21.00,0.00,-2.00,0.00
1966:Q2,1779.00,180.00,1060.00,539.00,0.00,1779.00,185.00,7.00,0.00,15.00,0.00,960.00,0.00,7.00,0.00,526.00,28.00,30.00,22.00,0.00,-1.00,0.00
1966:Q3,1521.00,184.00,907.00,430.00,0.00,1521.00,126.00,8.00,0.00,10.00,0.00,719.00,0.00,8.00,0.00,560.00,37.00,30.00,23.00,0.00,0.00,0.00
1966:Q4,1151.00,156.00,846.00,149.00,0.00,1151.00,27.00,6.00,0.00,10.00,0.00,492.00,0.00,6.00,3.00,510.00,58.00,26.00,24.00,0.00,-11.00,0.00
1967:Q1,773.00,193.00,537.00,43.00,0.00,773.00,-78.00,1.00,0.00,8.00,0.00,315.00,0.00,1.00,5.00,451.00,24.00,22.00,25.00,0.00,-1.00,0.00
1967:Q2,1344.00,48.00,279.00,1017.00,0.00,1344.00,32.00,-2.00,0.00,7.00,0.00,847.00,0.00,-2.00,5.00,396.00,-1.00,23.00,26.00,0.00,13.00,0.00
1967:Q3,1347.00,198.00,204.00,945.00,0.00,1347.00,15.00,-2.00,0.00,22.00,0.00,898.00,0.00,-2.00,5.00,342.00,24.00,11.00,29.00,0.00,5.00,0.00
1967:Q4,1325.00,2552.00,-1770.00,543.00,0.00,1325.00,20.00,1.00,0.00,19.00,0.00,808.00,0.00,1.00,4.00,431.00,7.00,10.00,27.00,0.00,-3.00,0.00
1968:Q1,1294.00,-2137.00,3319.00,85.00,27.00,1294.00,-133.00,-6.00,0.00,26.00,0.00,846.00,0.00,-6.00,3.00,367.00,5.00,20.00,26.00,0.00,-5.00,151.00
1968:Q2,1571.00,162.00,130.00,1253.00,27.00,1571.00,-196.00,-2.00,0.00,26.00,0.00,1181.00,0.00,-2.00,2.00,326.00,-8.00,17.00,25.00,0.00,10.00,192.00
1968:Q3,1813.00,181.00,463.00,1116.00,53.00,1813.00,33.00,-1.00,0.00,17.00,0.00,1151.00,0.00,-1.00,2.00,449.00,8.00,5.00,16.00,0.00,7.00,127.00
1968:Q4,2092.00,149.00,934.00,982.00,27.00,2092.00,-263.00,-3.00,0.00,18.00,0.00,1265.00,0.00,-3.00,1.00,779.00,2.00,18.00,15.00,0.00,13.00,250.00
1969:Q1,1348.00,185.00,743.00,315.00,105.00,1348.00,172.00,23.00,0.00,19.00,0.00,692.00,0.00,23.00,2.00,319.00,4.00,8.00,14.00,0.00,-1.00,73.00
1969:Q2,1425.00,198.00,-529.00,1748.00,8.00,1425.00,-142.00,37.00,100.00,20.00,0.00,796.00,0.00,37.00,1.00,358.00,-3.00,9.00,14.00,0.00,15.00,183.00
1969:Q3,1479.00,182.00,-291.00,1582.00,6.00,1479.00,-57.00,41.00,100.00,21.00,0.00,787.00,0.00,41.00,1.00,423.00,17.00,4.00,17.00,0.00,-5.00,89.00
1969:Q4,1780.00,149.00,594.00,1002.00,35.00,1780.00,-268.00,35.00,100.00,22.00,0.00,694.00,0.00,35.00,3.00,882.00,22.00,-17.00,16.00,0.00,20.00,236.00
1970:Q1,1381.00,315.00,11839.00,-10775.00,2.00,1381.00,745.00,-42.00,100.00,24.00,92.00,306.00,0.00,-42.00,8.00,292.00,6.00,18.00,15.00,0.00,-64.00,-77.00
1970:Q2,2303.00,186.00,631.00,1476.00,10.00,2303.00,762.00,8.00,100.00,22.00,25.00,416.00,0.00,8.00,12.00,483.00,-2.00,50.00,15.00,0.00,202.00,202.00
1970:Q3,2304.00,218.00,-8.00,2046.00,48.00,2304.00,588.00,6.00,100.00,14.00,48.00,782.00,0.00,6.00,13.00,350.00,27.00,42.00,12.00,0.00,103.00,213.00
1970:Q4,2246.00,168.00,579.00,1481.00,18.00,2246.00,-231.00,6.00,100.00,14.00,22.00,1214.00,0.00,6.00,12.00,523.00,-27.00,105.00,10.00,0.00,101.00,391.00
1971:Q1,1197.00,279.00,895.00,-1.00,24.00,1197.00,-649.00,5.00,100.00,14.00,64.00,907.00,0.00,5.00,0.00,404.00,2.00,-3.00,11.00,0.00,120.00,217.00
1971:Q2,2390.00,-70.00,700.00,1737.00,23.00,2390.00,-542.00,-20.00,100.00,12.00,49.00,1876.00,0.00,-20.00,-5.00,425.00,-30.00,13.00,11.00,0.00,183.00,338.00
1971:Q3,3237.00,235.00,638.00,2353.00,11.00,3237.00,-490.00,21.00,100.00,36.00,97.00,2339.00,0.00,21.00,-7.00,650.00,-12.00,-8.00,36.00,0.00,140.00,314.00
1971:Q4,3290.00,131.00,1173.00,1954.00,32.00,3290.00,-919.00,19.00,100.00,38.00,16.00,2344.00,0.00,19.00,-10.00,1006.00,133.00,11.00,35.00,0.00,157.00,341.00
1972:Q1,3051.00,214.00,2761.00,44.00,32.00,3051.00,-37.00,-2.00,100.00,11.00,91.00,2027.00,0.00,-2.00,-8.00,350.00,7.00,25.00,-83.00,0.00,357.00,215.00
1972:Q2,4272.00,186.00,907.00,3043.00,136.00,4272.00,159.00,-38.00,100.00,-6.00,89.00,2817.00,0.00,-38.00,-11.00,500.00,-66.00,-1.00,36.00,0.00,273.00,458.00
1972:Q3,4024.00,214.00,1362.00,2373.00,75.00,4024.00,121.00,72.00,100.00,-7.00,6.00,2788.00,0.00,72.00,-11.00,707.00,-55.00,40.00,40.00,0.00,-224.00,375.00
1972:Q4,5838.00,153.00,2405.00,3208.00,72.00,5838.00,466.00,-45.00,100.00,-217.00,65.00,3003.00,0.00,-45.00,-12.00,1548.00,-59.00,82.00,285.00,0.00,-12.00,679.00
1973:Q1,4173.00,277.00,2166.00,1647.00,83.00,4173.00,-288.00,38.00,67.00,-6.00,88.00,2762.00,20.00,38.00,-5.00,699.00,-4.00,108.00,0.00,0.00,164.00,492.00
1973:Q2,5755.00,33.00,5937.00,-307.00,92.00,5755.00,219.00,36.00,59.00,-51.00,31.00,3404.00,-6.00,36.00,-3.00,1056.00,-37.00,157.00,103.00,0.00,40.00,711.00
1973:Q3,5027.00,237.00,10353.00,-5566.00,3.00,5027.00,-692.00,12.00,39.00,68.00,33.00,3150.00,16.00,12.00,-2.00,1288.00,-35.00,58.00,-20.00,0.00,150.00,950.00
1973:Q4,4671.00,66.00,10830.00,-6248.00,23.00,4671.00,-205.00,12.00,23.00,-113.00,41.00,2291.00,22.00,12.00,-5.00,1845.00,51.00,151.00,174.00,0.00,16.00,356.00
1974:Q1,3749.00,292.00,1723.00,1689.00,45.00,3749.00,-25.00,73.00,76.00,54.00,68.00,2074.00,8.00,73.00,-2.00,901.00,10.00,78.00,-6.00,0.00,113.00,254.00
1974:Q2,4922.00,31.00,345.00,4540.00,6.00,4922.00,-38.00,74.00,66.00,147.00,52.00,3139.00,6.00,74.00,-2.00,1182.00,-13.00,111.00,-53.00,0.00,208.00,-31.00
1974:Q3,2668.00,247.00,-2799.00,5201.00,19.00,2668.00,-1012.00,146.00,39.00,40.00,5.00,1784.00,16.00,146.00,-1.00,1160.00,-11.00,51.00,0.00,0.00,136.00,169.00
1974:Q4,3334.00,42.00,-645.00,3920.00,17.00,3334.00,-26.00,129.00,19.00,105.00,216.00,956.00,18.00,129.00,-4.00,1517.00,7.00,229.00,0.00,0.00,235.00,-196.00
1975:Q1,1052.00,212.00,-1594.00,2436.00,-2.00,1052.00,-216.00,67.00,-28.00,71.00,56.00,694.00,115.00,61.00,-6.00,1012.00,43.00,107.00,0.00,0.00,-55.00,-869.00
1975:Q2,3020.00,17.00,820.00,2201.00,-18.00,3020.00,684.00,47.00,-24.00,163.00,0.00,1905.00,133.00,15.00,21.00,997.00,2.00,116.00,0.00,0.00,-104.00,-935.00
1975:Q3,3593.00,283.00,1471.00,1868.00,-29.00,3593.00,887.00,84.00,-16.00,83.00,-3.00,2763.00,-62.00,52.00,19.00,777.00,28.00,83.00,0.00,0.00,101.00,-1203.00
1975:Q4,3910.00,11.00,1429.00,2468.00,2.00,3910.00,408.00,91.00,-9.00,192.00,-9.00,2774.00,-101.00,54.00,30.00,1154.00,55.00,-6.00,0.00,0.00,138.00,-861.00
1976:Q1,1909.00,188.00,-990.00,2670.00,41.00,1909.00,-582.00,318.00,1.00,80.00,2.00,1572.00,-20.00,-26.00,0.00,691.00,26.00,33.00,0.00,0.00,118.00,-304.00
1976:Q2,3134.00,171.00,1985.00,897.00,81.00,3134.00,-54.00,-2.00,30.00,37.00,-1.00,2372.00,-3.00,-27.00,24.00,592.00,-8.00,75.00,0.00,0.00,408.00,-309.00
1976:Q3,3791.00,141.00,2365.00,1214.00,71.00,3791.00,29.00,-24.00,98.00,169.00,21.00,2739.00,-34.00,-20.00,-1.00,857.00,0.00,85.00,0.00,0.00,188.00,-316.00
1976:Q4,4043.00,61.00,1907.00,1940.00,135.00,4043.00,-312.00,2.00,156.00,88.00,-19.00,2521.00,-39.00,-17.00,29.00,1528.00,70.00,53.00,0.00,0.00,306.00,-323.00
1977:Q1,3220.00,150.00,697.00,2386.00,-13.00,3220.00,-102.00,7.00,70.00,122.00,43.00,1983.00,2.00,-34.00,54.00,693.00,-11.00,20.00,0.00,0.00,546.00,-173.00
1977:Q2,2895.00,235.00,1992.00,730.00,-62.00,2895.00,-507.00,16.00,105.00,172.00,-7.00,2006.00,11.00,-34.00,41.00,890.00,89.00,135.00,0.00,0.00,150.00,-172.00
1977:Q3,5447.00,150.00,3724.00,1611.00,-38.00,5447.00,4.00,140.00,190.00,160.00,0.00,3416.00,-21.00,90.00,27.00,1350.00,-23.00,58.00,0.00,0.00,229.00,-173.00
1977:Q4,7166.00,225.00,5116.00,1839.00,-14.00,7166.00,76.00,120.00,261.00,128.00,1.00,3734.00,-26.00,70.00,-11.00,2638.00,-2.00,153.00,0.00,0.00,197.00,-173.00
1978:Q1,4675.00,265.00,2956.00,1659.00,-205.00,4675.00,-74.00,-139.00,188.00,652.00,14.00,3093.00,12.00,-160.00,-9.00,1217.00,-6.00,-6.00,0.00,0.00,-77.00,-30.00
1978:Q2,5385.00,327.00,3706.00,1255.00,97.00,5385.00,-11.00,-126.00,228.00,-341.00,-3.00,4365.00,19.00,-176.00,-10.00,1593.00,49.00,-68.00,0.00,0.00,-101.00,-33.00
1978:Q3,5533.00,-18.00,2458.00,2987.00,106.00,5533.00,-19.00,50.00,328.00,215.00,-4.00,3080.00,10.00,0.00,1.00,1908.00,-1.00,51.00,0.00,0.00,-36.00,-50.00
1978:Q4,5614.00,261.00,1118.00,4133.00,102.00,5614.00,-317.00,25.00,409.00,41.00,34.00,2456.00,7.00,0.00,25.00,3079.00,3.00,122.00,0.00,0.00,-255.00,-15.00
1979:Q1,4507.00,78.00,2809.00,1582.00,38.00,4507.00,-350.00,51.00,469.00,282.00,4.00,2128.00,16.00,1.00,57.00,1623.00,22.00,35.00,0.00,0.00,182.00,-13.00
1979:Q2,6536.00,36.00,-569.00,7077.00,-8.00,6536.00,-433.00,55.00,445.00,168.00,45.00,4047.00,17.00,5.00,-20.00,2109.00,-26.00,18.00,0.00,0.00,120.00,-14.00
1979:Q3,7642.00,237.00,53.00,7379.00,-26.00,7642.00,-155.00,56.00,386.00,205.00,83.00,4080.00,329.00,6.00,30.00,2394.00,47.00,-1.00,0.00,0.00,196.00,-14.00
1979:Q4,6081.00,108.00,-1838.00,7821.00,-10.00,6081.00,-228.00,43.00,341.00,186.00,66.00,2524.00,391.00,9.00,192.00,2562.00,15.00,106.00,0.00,0.00,-112.00,-14.00
1980:Q1,4464.00,-49.00,-2642.00,7161.00,-6.00,4464.00,158.00,-45.00,-50.00,402.00,18.00,802.00,392.00,-65.00,124.00,2634.00,74.00,89.00,0.00,0.00,-44.00,-25.00
1980:Q2,4952.00,313.00,-5182.00,9829.00,-8.00,4952.00,88.00,75.00,26.00,261.00,105.00,1596.00,391.00,25.00,47.00,2171.00,30.00,69.00,0.00,0.00,92.00,-24.00
1980:Q3,4944.00,456.00,-3207.00,7702.00,-7.00,4944.00,-143.00,56.00,216.00,264.00,-17.00,1548.00,290.00,31.00,44.00,2191.00,224.00,48.00,0.00,0.00,216.00,-24.00
1980:Q4,6095.00,-76.00,22.00,6155.00,-6.00,6095.00,-230.00,63.00,371.00,253.00,54.00,2051.00,249.00,29.00,129.00,2750.00,71.00,141.00,0.00,0.00,189.00,-25.00
1981:Q1,7608.00,193.00,379.00,7036.00,0.00,7608.00,-628.00,2380.00,794.00,179.00,17.00,1786.00,380.00,91.00,61.00,1950.00,127.00,39.00,0.00,0.00,440.00,-8.00
1981:Q2,10985.00,274.00,5534.00,5176.00,1.00,10985.00,-684.00,3853.00,831.00,246.00,133.00,3313.00,496.00,143.00,92.00,1955.00,100.00,168.00,0.00,0.00,346.00,-7.00
1981:Q3,10426.00,284.00,5328.00,4810.00,4.00,10426.00,-980.00,4426.00,922.00,258.00,201.00,3265.00,373.00,131.00,102.00,1499.00,3.00,125.00,0.00,0.00,109.00,-8.00
1981:Q4,10983.00,46.00,127.00,10802.00,8.00,10983.00,-871.00,5044.00,993.00,302.00,131.00,2325.00,489.00,55.00,97.00,2093.00,49.00,67.00,0.00,0.00,215.00,-6.00
1982:Q1,6934.00,875.00,-1728.00,7772.00,15.00,6934.00,-3431.00,5064.00,540.00,183.00,161.00,2138.00,339.00,40.00,65.00,1410.00,0.00,90.00,0.00,0.00,321.00,14.00
1982:Q2,9028.00,383.00,-3746.00,12368.00,23.00,9028.00,-136.00,477.00,472.00,168.00,265.00,4176.00,396.00,8.00,42.00,1627.00,1217.00,174.00,0.00,0.00,127.00,15.00
1982:Q3,10639.00,166.00,-4383.00,14834.00,22.00,10639.00,-125.00,1624.00,299.00,202.00,191.00,6559.00,225.00,-10.00,53.00,487.00,593.00,242.00,0.00,0.00,284.00,15.00
1982:Q4,9438.00,441.00,-1429.00,10410.00,16.00,9438.00,28.00,2218.00,161.00,168.00,282.00,3403.00,118.00,-18.00,99.00,1860.00,1034.00,40.00,0.00,0.00,30.00,15.00
1983:Q1,12614.00,1539.00,-3928.00,14993.00,10.00,12614.00,1230.00,557.00,162.00,64.00,158.00,6780.00,31.00,-57.00,149.00,1809.00,1787.00,20.00,0.00,0.00,-49.00,-27.00
1983:Q2,13885.00,1284.00,4276.00,8319.00,6.00,13885.00,251.00,992.00,279.00,99.00,68.00,9330.00,-51.00,-104.00,205.00,2060.00,375.00,48.00,0.00,0.00,360.00,-27.00
