date,FA907005005.Q,FA903012005.Q,FA903091005.Q,FA904010005.Q,FA902050005.Q,FA903020005.Q,FA903023005.Q,FA903028003.Q,FA903029200.Q,FA903070005.Q,FA903078005.Q,FA903090005.Q,FA906000105.Q,FA087005005.Q,FA156600075.Q
1954:Q4,-3685.00,-48.00,0.00,-4376.00,3252.00,1984.00,2088.00,-324.00,220.00,-3323.00,-7683.00,9417.00,-2908.00,2880.00,28.00
1955:Q1,-13022.00,-36.00,0.00,-344.00,-1368.00,1568.00,2584.00,-244.00,-772.00,-103.00,-14775.00,5473.00,-3437.00,3413.00,24.00
1955:Q2,-13347.00,-24.00,0.00,628.00,964.00,-908.00,-3476.00,140.00,2428.00,1925.00,-14147.00,1.00,-1786.00,1758.00,28.00
1955:Q3,-20613.00,-16.00,0.00,1996.00,-4812.00,-2932.00,-1784.00,556.00,-1704.00,5181.00,-4591.00,-13453.00,-1986.00,1962.00,24.00
1955:Q4,5079.00,-8.00,0.00,-2224.00,732.00,2884.00,1112.00,956.00,816.00,-1323.00,-3351.00,9689.00,-1320.00,1292.00,28.00
1956:Q1,-11845.00,-20.00,0.00,-776.00,1328.00,1528.00,1612.00,1036.00,-1120.00,1101.00,-13593.00,-2243.00,830.00,-858.00,28.00
1956:Q2,-21110.00,-56.00,0.00,-640.00,1776.00,48.00,-856.00,796.00,108.00,453.00,-17977.00,-6434.00,1720.00,-1752.00,32.00
1956:Q3,-18835.00,-36.00,0.00,2656.00,-6604.00,212.00,-1072.00,584.00,700.00,-2791.00,-4229.00,-10624.00,2581.00,-2613.00,32.00
1956:Q4,-821.00,-44.00,0.00,-1852.00,1328.00,1512.00,1784.00,400.00,-672.00,-2931.00,-3781.00,1926.00,3021.00,-3049.00,28.00
1957:Q1,-13284.00,-48.00,0.00,-1788.00,1452.00,-1632.00,-1168.00,428.00,-892.00,115.00,-12224.00,-348.00,1189.00,-1221.00,32.00
1957:Q2,-16090.00,-44.00,0.00,-328.00,4052.00,-1096.00,148.00,668.00,-1912.00,-333.00,-13780.00,-6399.00,1838.00,-1870.00,32.00
1957:Q3,-19134.00,-44.00,0.00,3116.00,-8572.00,780.00,304.00,972.00,-496.00,1159.00,-8616.00,-6302.00,-655.00,623.00,32.00
1957:Q4,-7239.00,-40.00,0.00,-3208.00,-320.00,856.00,936.00,1348.00,-1428.00,6331.00,-8052.00,-1873.00,-933.00,905.00,28.00
1958:Q1,-23293.00,-80.00,0.00,-3688.00,492.00,2276.00,888.00,1240.00,148.00,-8819.00,-9565.00,-5092.00,1183.00,-1219.00,36.00
1958:Q2,-7393.00,-36.00,0.00,-2456.00,7600.00,1372.00,1032.00,644.00,-304.00,6221.00,-12461.00,-7071.00,-562.00,526.00,36.00
1958:Q3,-16189.00,-52.00,0.00,5012.00,-6800.00,-3780.00,-2436.00,144.00,-1488.00,-2699.00,-9825.00,3016.00,-1061.00,1025.00,36.00
1958:Q4,-7765.00,-32.00,0.00,-1292.00,2284.00,1104.00,-112.00,-248.00,1464.00,1921.00,-10229.00,635.00,-2156.00,2116.00,40.00
1959:Q1,3432.00,-24.00,0.00,1076.00,5872.00,-2248.00,680.00,-556.00,-2372.00,3727.00,1117.00,-6018.00,-70.00,26.00,44.00
1959:Q2,-5474.00,-72.00,0.00,280.00,2148.00,-1072.00,-168.00,-784.00,-120.00,907.00,546.00,-9621.00,1410.00,-1450.00,40.00
1959:Q3,-10364.00,-100.00,0.00,4028.00,-4980.00,-404.00,-532.00,-1248.00,1376.00,-1673.00,-1470.00,-3929.00,-1837.00,1797.00,40.00
1959:Q4,9397.00,44.00,0.00,-3628.00,852.00,1520.00,4.00,-1976.00,3492.00,2095.00,-1330.00,10101.00,-257.00,221.00,36.00
1960:Q1,-8969.00,-64.00,0.00,40.00,4344.00,-892.00,-132.00,-1772.00,1012.00,-1628.00,281.00,-10781.00,-269.00,237.00,32.00
1960:Q2,3843.00,-20.00,0.00,-1148.00,-1544.00,-404.00,268.00,-640.00,-32.00,3816.00,1753.00,-207.00,1597.00,-1629.00,32.00
1960:Q3,-5802.00,-36.00,0.00,3064.00,-1656.00,-1024.00,-1500.00,916.00,-440.00,-2656.00,-737.00,-2926.00,169.00,-205.00,36.00
1960:Q4,6528.00,-40.00,0.00,-2616.00,-428.00,3984.00,640.00,2412.00,932.00,-508.00,2139.00,187.00,3810.00,-3846.00,36.00
1961:Q1,12354.00,-24.00,0.00,-1712.00,16.00,4466.00,994.00,2488.00,984.00,97.00,245.00,7981.00,1284.00,-1332.00,48.00
1961:Q2,-17324.00,-48.00,0.00,-1616.00,544.00,2002.00,982.00,1148.00,-128.00,-5015.00,-1412.00,-12182.00,403.00,-455.00,52.00
1961:Q3,4265.00,-436.00,0.00,2856.00,-1560.00,-712.00,-3484.00,-72.00,2844.00,-2119.00,-1162.00,7367.00,30.00,-82.00,52.00
1961:Q4,10507.00,-24.00,0.00,-260.00,2256.00,1016.00,1776.00,-1180.00,420.00,-3143.00,-1208.00,9899.00,1971.00,-2027.00,56.00
1962:Q1,8922.00,20.00,0.00,-3792.00,-888.00,-184.00,772.00,-1336.00,380.00,2811.00,3500.00,8951.00,-1497.00,1445.00,52.00
1962:Q2,-4704.00,-4.00,0.00,-628.00,-200.00,2204.00,1564.00,-556.00,1196.00,-357.00,1110.00,-5500.00,-1329.00,1273.00,56.00
1962:Q3,4261.00,160.00,0.00,3464.00,-3380.00,-2300.00,-3496.00,140.00,1056.00,2019.00,2660.00,2584.00,-947.00,887.00,60.00
1962:Q4,4101.00,-24.00,0.00,-4872.00,896.00,3298.00,2554.00,700.00,44.00,-4037.00,-2827.00,7798.00,3868.00,-3928.00,60.00
1963:Q1,25557.00,-8.00,0.00,-508.00,2944.00,2906.00,878.00,776.00,1252.00,1907.00,2119.00,13903.00,2294.00,-2354.00,60.00
1963:Q2,-11348.00,4.00,0.00,116.00,84.00,120.00,-436.00,340.00,216.00,-4065.00,-2598.00,-8325.00,3315.00,-3387.00,72.00
1963:Q3,6022.00,32.00,0.00,1448.00,-3420.00,2416.00,588.00,-20.00,1848.00,3223.00,-671.00,3407.00,-413.00,349.00,64.00
1963:Q4,3813.00,112.00,0.00,-2248.00,6052.00,-1492.00,-644.00,-344.00,-504.00,-409.00,-2095.00,3271.00,622.00,-690.00,68.00
1964:Q1,17027.00,72.00,0.00,1636.00,524.00,8856.00,2732.00,1624.00,4500.00,-1877.00,3187.00,7282.00,-2653.00,2585.00,68.00
1964:Q2,-17028.00,68.00,0.00,-2132.00,-4476.00,-3464.00,-1260.00,-2128.00,-76.00,-1617.00,-261.00,-4322.00,-824.00,748.00,76.00
1964:Q3,-12828.00,156.00,0.00,2024.00,-2564.00,-162.00,-2606.00,100.00,2344.00,-2333.00,-446.00,-9018.00,-486.00,402.00,84.00
1964:Q4,14362.00,492.00,0.00,-5300.00,8836.00,-4674.00,514.00,-3348.00,-1840.00,1027.00,-797.00,11061.00,3716.00,-3796.00,80.00
1965:Q1,32921.00,196.00,0.00,6320.00,-3668.00,7060.00,1712.00,3932.00,1416.00,4411.00,2433.00,14016.00,2153.00,-2241.00,88.00
1965:Q2,-18972.00,60.00,0.00,-1020.00,-2264.00,912.00,1888.00,344.00,-1320.00,-3073.00,945.00,-16139.00,1607.00,-1691.00,84.00
1965:Q3,-13309.00,-48.00,0.00,-1772.00,-1476.00,-2290.00,-2122.00,408.00,-576.00,-2533.00,249.00,-2520.00,-2920.00,2836.00,84.00
1965:Q4,-22745.00,48.00,0.00,-2984.00,1000.00,1832.00,248.00,524.00,1060.00,-2413.00,-419.00,-15536.00,-4272.00,4192.00,80.00
1966:Q1,14676.00,68.00,0.00,5508.00,-1744.00,10264.00,548.00,504.00,9212.00,-2189.00,4182.00,5182.00,-6596.00,6488.00,108.00
1966:Q2,-29992.00,236.00,0.00,984.00,-1800.00,4778.00,1854.00,348.00,2576.00,-9529.00,2063.00,-22090.00,-4634.00,4526.00,108.00
1966:Q3,-22362.00,356.00,0.00,1884.00,-7776.00,-4760.00,-6512.00,184.00,1568.00,-5585.00,-952.00,-628.00,-4901.00,4797.00,104.00
1966:Q4,-7540.00,-32.00,0.00,-2260.00,864.00,-1054.00,4058.00,16.00,-5128.00,-1445.00,-3290.00,4453.00,-4776.00,4676.00,100.00
1967:Q1,1689.00,104.00,0.00,-704.00,5540.00,1814.00,2710.00,-2000.00,1104.00,-3929.00,4673.00,1817.00,-7625.00,7513.00,112.00
1967:Q2,-14229.00,440.00,0.00,824.00,376.00,3000.00,980.00,2120.00,-100.00,-2125.00,5521.00,-18516.00,-3749.00,3641.00,108.00
1967:Q3,-24677.00,72.00,0.00,-248.00,-2104.00,-4552.00,-3796.00,-3048.00,2292.00,-1849.00,-3294.00,-10474.00,-2228.00,2120.00,108.00
1967:Q4,-6659.00,248.00,0.00,32.00,3476.00,726.00,2650.00,2052.00,-3976.00,-1929.00,-4381.00,-4342.00,-489.00,369.00,120.00
1968:Q1,8365.00,212.00,0.00,-2148.00,-4028.00,6078.00,4334.00,3364.00,-1620.00,-1696.00,10638.00,4496.00,-5187.00,5055.00,132.00
1968:Q2,-14955.00,604.00,0.00,6008.00,5736.00,4558.00,1534.00,-1124.00,4148.00,-3700.00,-2558.00,-18791.00,-6812.00,6676.00,136.00
1968:Q3,-21412.00,52.00,0.00,-4096.00,-6672.00,-7868.00,-7784.00,240.00,-324.00,1028.00,-3143.00,735.00,-1449.00,1301.00,148.00
1968:Q4,6013.00,128.00,0.00,4904.00,8240.00,15138.00,5814.00,5412.00,3912.00,-9016.00,-3953.00,-9585.00,158.00,-318.00,160.00
1969:Q1,140.00,60.00,0.00,-440.00,-4496.00,652.00,2184.00,176.00,-1708.00,-2640.00,2838.00,9929.00,-5763.00,5571.00,192.00
1969:Q2,-7187.00,592.00,0.00,11476.00,752.00,6012.00,2212.00,116.00,3684.00,-5356.00,12952.00,-31468.00,-2146.00,1934.00,212.00
1969:Q3,-19019.00,28.00,0.00,-10160.00,-16904.00,-8220.00,-6320.00,88.00,-1988.00,-5588.00,-3161.00,26037.00,-1051.00,831.00,220.00
1969:Q4,-26678.00,196.00,0.00,1412.00,8028.00,1396.00,-1828.00,-5168.00,8392.00,488.00,-5924.00,-33916.00,1642.00,-1870.00,228.00
1970:Q1,-24402.00,44.00,0.00,13016.00,-1264.00,-4618.00,-6702.00,12.00,2072.00,5071.00,3959.00,-36668.00,-3943.00,3711.00,232.00
1970:Q2,-41470.00,-248.00,0.00,-2436.00,20088.00,-2566.00,2346.00,20.00,-4932.00,4995.00,-3305.00,-52051.00,-5947.00,5719.00,228.00
1970:Q3,-22888.00,-68.00,0.00,-5736.00,-13324.00,8588.00,-420.00,4944.00,4064.00,3319.00,1060.00,-10003.00,-6723.00,6487.00,236.00
1970:Q4,42234.00,-44.00,0.00,-5508.00,2316.00,42.00,666.00,-288.00,-336.00,-8485.00,542.00,59109.00,-5737.00,5497.00,240.00
1971:Q1,-15383.00,-92.00,0.00,17548.00,4400.00,-942.00,-5482.00,-5044.00,9584.00,20229.00,534.00,-43497.00,-13563.00,13267.00,296.00
1971:Q2,-57002.00,-28.00,0.00,-7768.00,6172.00,5932.00,3816.00,636.00,1480.00,-799.00,-4855.00,-42811.00,-12844.00,12512.00,332.00
1971:Q3,-43734.00,-52.00,0.00,-8280.00,-14188.00,1672.00,-668.00,-2432.00,4772.00,-1763.00,5552.00,-14538.00,-12137.00,11797.00,340.00
1971:Q4,36199.00,220.00,0.00,-9812.00,8400.00,-4492.00,844.00,2512.00,-7848.00,-4099.00,4409.00,42263.00,-690.00,346.00,344.00
1972:Q1,950.00,-380.00,0.00,-4756.00,1176.00,12326.00,402.00,96.00,11828.00,6854.00,-1538.00,-7733.00,-5000.00,4620.00,380.00
1972:Q2,-42164.00,-72.00,0.00,-4700.00,8108.00,-2020.00,-256.00,296.00,-2060.00,-1822.00,1971.00,-25696.00,-17933.00,17565.00,368.00
1972:Q3,-10325.00,-92.00,0.00,-9104.00,-9140.00,19584.00,7896.00,128.00,11560.00,6366.00,3284.00,-11900.00,-9323.00,8951.00,372.00
1972:Q4,-41546.00,-68.00,0.00,-5228.00,8376.00,-8844.00,-5732.00,100.00,-3212.00,-16946.00,6155.00,-27223.00,2232.00,-2608.00,376.00
1973:Q1,-15851.00,-76.00,0.00,7976.00,-6968.00,-1432.00,-1108.00,132.00,-456.00,-3730.00,1231.00,-5916.00,-6936.00,6420.00,516.00
1973:Q2,-37984.00,328.00,0.00,-16092.00,8100.00,512.00,648.00,192.00,-328.00,7502.00,2410.00,-25460.00,-15284.00,14740.00,544.00
1973:Q3,8887.00,-76.00,0.00,16208.00,-13284.00,16104.00,6196.00,332.00,9576.00,-14290.00,2256.00,4958.00,-2989.00,2437.00,552.00
1973:Q4,-24311.00,-100.00,0.00,-5592.00,-1212.00,-15624.00,-4736.00,496.00,-11384.00,5022.00,3343.00,-8802.00,-1346.00,790.00,556.00
1974:Q1,-8917.00,12.00,0.00,-1296.00,-15656.00,-4782.00,-2042.00,436.00,-3176.00,472.00,11089.00,1749.00,-505.00,-71.00,576.00
1974:Q2,5258.00,-56.00,0.00,8720.00,32220.00,5402.00,-266.00,136.00,5532.00,-9232.00,5468.00,-26617.00,-10648.00,10084.00,564.00
1974:Q3,15809.00,-168.00,0.00,4728.00,-13524.00,9312.00,8288.00,-124.00,1148.00,7372.00,7202.00,4823.00,-3936.00,3376.00,560.00
1974:Q4,9566.00,-152.00,0.00,-4796.00,26684.00,-8434.00,-6238.00,-388.00,-1808.00,5560.00,5597.00,1857.00,-16750.00,16174.00,576.00
1975:Q1,2221.00,-136.00,228.00,-3128.00,-13508.00,-7156.00,-7084.00,-464.00,392.00,-8715.00,2091.00,48411.00,-15866.00,15278.00,588.00
1975:Q2,32200.00,-92.00,924.00,-20724.00,2128.00,4.00,0.00,-364.00,368.00,-9575.00,-3680.00,78159.00,-14945.00,14353.00,592.00
1975:Q3,70753.00,-192.00,1716.00,15512.00,4408.00,9538.00,4650.00,-300.00,5188.00,13813.00,-1884.00,37136.00,-9295.00,8711.00,584.00
1975:Q4,34916.00,-96.00,-1448.00,-10516.00,-6976.00,4338.00,2594.00,-316.00,2060.00,-22263.00,-860.00,87899.00,-15162.00,14578.00,584.00
1976:Q1,24401.00,-148.00,384.00,2548.00,8640.00,-1766.00,-3054.00,-260.00,1548.00,-17358.00,-1168.00,52086.00,-18816.00,18188.00,628.00
1976:Q2,-56777.00,736.00,1588.00,-3808.00,10916.00,-3876.00,4052.00,-140.00,-7788.00,-8746.00,-3785.00,-28325.00,-21477.00,20853.00,624.00
1976:Q3,32790.00,-912.00,1644.00,8160.00,21264.00,3860.00,708.00,24.00,3128.00,7982.00,-148.00,8535.00,-17594.00,16950.00,644.00
1976:Q4,8958.00,-128.00,-208.00,-10056.00,-10024.00,690.00,-5142.00,172.00,5660.00,-14414.00,2994.00,66625.00,-26521.00,25861.00,660.00
1977:Q1,-75213.00,-520.00,1552.00,-12724.00,24904.00,2234.00,-2534.00,220.00,4548.00,9280.00,2648.00,-70318.00,-32269.00,31553.00,716.00
1977:Q2,-19547.00,-100.00,2096.00,6016.00,-5412.00,3222.00,7414.00,148.00,-4340.00,1552.00,3855.00,-9167.00,-21609.00,20857.00,752.00
1977:Q3,-44635.00,-104.00,-3776.00,-9016.00,9588.00,11468.00,6388.00,132.00,4948.00,-13488.00,377.00,-20620.00,-19065.00,18293.00,772.00
1977:Q4,-16884.00,-320.00,-3656.00,-11492.00,-13656.00,-4256.00,-5752.00,136.00,1360.00,-38664.00,3920.00,58351.00,-7111.00,6315.00,796.00
1978:Q1,-18432.00,104.00,-1468.00,11744.00,50980.00,-11078.00,-9078.00,116.00,-2116.00,-5453.00,5350.00,-67243.00,-1368.00,512.00,856.00
1978:Q2,29741.00,-108.00,-368.00,-2664.00,-6684.00,13026.00,13254.00,60.00,-288.00,-30589.00,768.00,78531.00,-22171.00,21299.00,872.00
1978:Q3,-737.00,44.00,1032.00,332.00,12552.00,7438.00,6742.00,-124.00,820.00,-40265.00,2192.00,46258.00,-30320.00,29456.00,864.00
1978:Q4,-38755.00,-144.00,-1748.00,-10376.00,-57696.00,-62940.00,-62588.00,-220.00,-132.00,-20637.00,3111.00,153884.00,-42209.00,41341.00,868.00
1979:Q1,76826.00,-204.00,1324.00,-8920.00,55224.00,-9762.00,-6042.00,-208.00,-3512.00,-15741.00,5163.00,74573.00,-24831.00,23899.00,932.00
1979:Q2,25479.00,-176.00,-1028.00,576.00,476.00,4176.00,5532.00,-116.00,-1240.00,-9281.00,10564.00,62391.00,-42219.00,41315.00,904.00
1979:Q3,43300.00,-80.00,20924.00,-8852.00,-19504.00,-1442.00,-2510.00,-44.00,1112.00,-8237.00,7064.00,112782.00,-59355.00,58423.00,932.00
1979:Q4,-19632.00,-140.00,-7700.00,2140.00,-80268.00,12090.00,8290.00,48.00,3752.00,-14921.00,6981.00,118635.00,-56449.00,55501.00,948.00
1980:Q1,3654.00,-180.00,11428.00,-388.00,39044.00,-12596.00,-2848.00,64.00,-9812.00,-28047.00,1861.00,57264.00,-64732.00,63740.00,992.00
1980:Q2,-41471.00,-124.00,6412.00,-23260.00,-12780.00,8722.00,-2706.00,20.00,11408.00,-24447.00,24387.00,39882.00,-60264.00,59264.00,1000.00
1980:Q3,-73557.00,-216.00,-16256.00,-20628.00,1440.00,-7488.00,-1488.00,28.00,-6028.00,9269.00,3909.00,-6955.00,-36632.00,35608.00,1024.00
1980:Q4,-89494.00,-188.00,11228.00,12292.00,-35588.00,16184.00,2676.00,44.00,13464.00,-48395.00,-553.00,-26317.00,-18157.00,17113.00,1044.00
1981:Q1,-41619.00,-248.00,11448.00,-3328.00,100596.00,-12578.00,-15606.00,44.00,2984.00,5737.00,-3590.00,-81224.00,-58433.00,57265.00,1168.00
1981:Q2,-95820.00,-220.00,-8996.00,-3220.00,-11540.00,36160.00,37940.00,24.00,-1804.00,-20183.00,26539.00,-78389.00,-35972.00,34796.00,1176.00
1981:Q3,-70655.00,-188.00,-12656.00,-16376.00,-19360.00,-20724.00,-14384.00,12.00,-6352.00,-18967.00,7076.00,39594.00,-29054.00,27886.00,1168.00
1981:Q4,-10989.00,-164.00,-7188.00,476.00,14908.00,12552.00,-8924.00,8.00,21468.00,-19127.00,254.00,15341.00,-28041.00,26881.00,1160.00
1982:Q1,1166.00,-204.00,16252.00,-12480.00,49268.00,-2496.00,-428.00,12.00,-2080.00,1569.00,11060.00,-62288.00,485.00,-1685.00,1200.00
1982:Q2,-24402.00,-212.00,-3480.00,-9696.00,-44552.00,2506.00,9374.00,24.00,-6892.00,6637.00,11904.00,16746.00,-4255.00,3063.00,1192.00
1982:Q3,316.00,-256.00,-14800.00,-16512.00,-2716.00,2630.00,2818.00,-44.00,-144.00,28529.00,-5532.00,14263.00,-5290.00,4102.00,1188.00
1982:Q4,56100.00,-144.00,-316.00,-9512.00,39016.00,-8556.00,-10368.00,116.00,1696.00,11957.00,13037.00,33358.00,-22739.00,21551.00,1188.00
1983:Q1,-137731.00,-232.00,20704.00,-39184.00,-54368.00,10792.00,9220.00,108.00,1464.00,-51588.00,14082.00,-8040.00,-29897.00,28641.00,1256.00
1983:Q2,-109316.00,-184.00,-5240.00,4336.00,-40060.00,-5662.00,2570.00,64.00,-8296.00,-41196.00,-18756.00,48365.00,-50919.00,49667.00,1252.00
1983:Q3,-127028.00,-156.00,1104.00,-4808.00,13572.00,11428.00,1960.00,64.00,9404.00,-53880.00,-2908.00,-17915.00,-73464.00,72208.00,1256.00
1983:Q4,-24241.00,-312.00,-1956.00,-16260.00,32584.00,272.00,-7420.00,12.00,7680.00,-40480.00,-6210.00,75490.00,-67369.00,66113.00,1256.00
1984:Q1,-15208.00,68.00,6404.00,26588.00,-92.00,4914.00,6970.00,36.00,-2092.00,-45076.00,-3943.00,35713.00,-39784.00,38456.00,1328.00
1984:Q2,-148107.00,-276.00,5104.00,4036.00,-54300.00,2808.00,2084.00,56.00,668.00,-21400.00,-1768.00,-36018.00,-46293.00,44969.00,1324.00
1984:Q3,23891.00,-164.00,-6020.00,-8372.00,51348.00,-770.00,898.00,32.00,-1700.00,-14888.00,14514.00,30688.00,-42444.00,41108.00,1336.00
1984:Q4,-112453.00,-160.00,-1976.00,6060.00,-46176.00,-12508.00,-8088.00,28.00,-4448.00,-37296.00,11361.00,-425.00,-31334.00,29978.00,1356.00
1985:Q1,54297.00,428.00,10548.00,-8184.00,-67784.00,20376.00,12060.00,28.00,8288.00,-37326.00,6344.00,166505.00,-36609.00,35189.00,1420.00
1985:Q2,138386.00,-708.00,-9120.00,-3156.00,-63600.00,-7088.00,1048.00,32.00,-8168.00,38562.00,-2840.00,231399.00,-45064.00,43648.00,1416.00
1985:Q3,167093.00,-244.00,14628.00,-9156.00,-6208.00,8418.00,-5354.00,32.00,13740.00,-3258.00,7243.00,215804.00,-60135.00,58719.00,1416.00
1985:Q4,171182.00,-464.00,6868.00,13948.00,11044.00,-13300.00,-2428.00,32.00,-10904.00,22438.00,2664.00,196922.00,-68938.00,67490.00,1448.00
1986:Q1,-31431.00,224.00,9752.00,-40364.00,65216.00,13866.00,18818.00,32.00,-4984.00,14507.00,2418.00,-31119.00,-65931.00,64467.00,1464.00
1986:Q2,-184748.00,-120.00,8992.00,-14300.00,-7840.00,-14524.00,-4704.00,28.00,-9848.00,-7673.00,-367.00,-73760.00,-75156.00,73712.00,1444.00
1986:Q3,-195458.00,-128.00,37812.00,-6444.00,-30436.00,-16958.00,-7234.00,28.00,-9752.00,-1149.00,8649.00,-95254.00,-91550.00,90102.00,1448.00
1986:Q4,-343652.00,-80.00,25500.00,-268.00,340.00,-20488.00,-9328.00,24.00,-11184.00,18307.00,12737.00,-299554.00,-80145.00,78693.00,1452.00
1987:Q1,30485.00,-160.00,-5556.00,21120.00,-7328.00,12148.00,22264.00,24.00,-10140.00,-12772.00,24778.00,65329.00,-67073.00,65609.00,1464.00
1987:Q2,-283132.00,-188.00,18680.00,-14196.00,-59560.00,-10970.00,-7718.00,20.00,-3272.00,-3668.00,-16038.00,-150779.00,-46413.00,44917.00,1496.00
1987:Q3,-207100.00,-12.00,13576.00,38476.00,10156.00,4678.00,4198.00,20.00,460.00,9212.00,18406.00,-282747.00,-18845.00,17301.00,1544.00
1987:Q4,-133760.00,-204.00,22048.00,-36928.00,-31748.00,-4190.00,-18814.00,16.00,14608.00,-36880.00,10246.00,-20110.00,-35994.00,34398.00,1596.00
1988:Q1,115750.00,-132.00,-17632.00,-12456.00,40212.00,12754.00,14550.00,0.00,-1796.00,-14848.00,1693.00,110175.00,-4016.00,2368.00,1648.00
1988:Q2,-61404.00,-248.00,5408.00,7032.00,-27640.00,636.00,4272.00,0.00,-3636.00,-38856.00,5464.00,-1123.00,-12077.00,10401.00,1676.00
